size,nb,ib,threads,GFlops
4096,152,136,4,77.2915
4096,152,144,4,91.2943
4096,160,8,4,72.0268
4096,160,16,4,93.3224
4096,160,24,4,102.0734
4096,160,32,4,89.0936
4096,160,40,4,107.0574
4096,160,48,4,101.7372
4096,160,56,4,101.2216
4096,160,64,4,96.8599
4096,160,72,4,98.732
4096,160,80,4,86.3009
4096,160,88,4,85.0094
4096,160,96,4,95.7042
4096,160,104,4,100.2225
4096,160,112,4,95.0027
4096,160,120,4,79.5531
4096,160,128,4,90.1622
4096,160,136,4,93.0957
4096,160,144,4,88.8461
4096,160,152,4,85.8383
4096,168,8,4,68.7599
4096,168,16,4,90.8761
4096,168,24,4,104.458
4096,168,32,4,95.9862
4096,168,40,4,92.411
4096,168,48,4,109.0619
4096,168,56,4,106.6037
4096,168,64,4,93.7108
4096,168,72,4,84.4107
4096,168,80,4,85.718
4096,168,88,4,100.8232
4096,168,96,4,95.4331
4096,168,104,4,90.9326
4096,168,112,4,85.7672
4096,168,120,4,97.633
4096,168,128,4,89.6885
4096,168,136,4,95.5227
4096,168,144,4,87.2906
4096,168,152,4,91.744
4096,168,160,4,79.2639
4096,176,8,4,71.8199
4096,176,16,4,96.4628
4096,176,24,4,104.1905
4096,176,32,4,111.191
4096,176,40,4,106.459
4096,176,48,4,110.1358
4096,176,56,4,97.3027
4096,176,64,4,99.3096
4096,176,72,4,84.3847
4096,176,80,4,98.796
4096,176,88,4,95.8375
4096,176,96,4,95.6092
4096,176,104,4,84.7752
4096,176,112,4,82.2815
4096,176,120,4,89.5457
4096,176,128,4,78.7319
4096,176,136,4,92.6789
4096,176,144,4,85.865
4096,176,152,4,85.9142
4096,176,160,4,84.5686
4096,176,168,4,83.9812
4096,184,8,4,74.9179
4096,184,16,4,97.3685
4096,184,24,4,101.834
4096,184,32,4,99.2548
4096,184,40,4,107.1713
4096,184,48,4,103.4942
4096,184,56,4,95.9973
4096,184,64,4,103.7423
4096,184,72,4,90.9102
4096,184,80,4,86.7971
4096,184,88,4,86.037
4096,184,96,4,93.0945
4096,184,104,4,95.2309
4096,184,112,4,83.6059
4096,184,120,4,93.7843
4096,184,128,4,86.7756
4096,184,136,4,81.5318
4096,184,144,4,95.6906
4096,184,152,4,86.4943
4096,184,160,4,77.7302
4096,184,168,4,68.4109
4096,184,176,4,83.1267
4096,192,8,4,77.3305
4096,192,16,4,96.8979
4096,192,24,4,110.8941
4096,192,32,4,109.3552
4096,192,40,4,113.2656
4096,192,48,4,106.993
4096,192,56,4,101.6993
4096,192,64,4,90.7278
4096,192,72,4,96.2987
4096,192,80,4,86.1022
4096,192,88,4,89.7288
4096,192,96,4,96.3385
4096,192,104,4,85.8263
4096,192,112,4,90.8892
4096,192,120,4,84.6048
4096,192,128,4,84.0091
4096,192,136,4,95.1959
4096,192,144,4,84.7712
4096,192,152,4,82.9766
4096,192,160,4,93.0246
4096,192,168,4,88.3611
4096,192,176,4,89.2564
4096,192,184,4,87.8019
4096,200,8,4,74.9612
4096,200,16,4,91.4768
4096,200,24,4,105.1236
4096,200,32,4,97.8712
4096,200,40,4,107.4928
4096,200,48,4,103.6908
4096,200,56,4,87.9052
4096,200,64,4,93.9602
4096,200,72,4,99.4994
4096,200,80,4,95.3691
4096,200,88,4,90.7401
4096,200,96,4,85.1999
4096,200,104,4,92.9929
4096,200,112,4,96.5164
4096,200,120,4,94.893
4096,200,128,4,94.8348
4096,200,136,4,90.4252
4096,200,144,4,94.5788
4096,200,152,4,78.9387
4096,200,160,4,84.9558
4096,200,168,4,90.0561
4096,200,176,4,93.7485
4096,200,184,4,82.4471
4096,200,192,4,81.2852
4096,208,8,4,80.2627
4096,208,16,4,101.815
4096,208,24,4,104.3153
4096,208,32,4,100.4627
4096,208,40,4,111.4059
4096,208,48,4,105.1598
4096,208,56,4,96.9708
4096,208,64,4,98.8307
4096,208,72,4,102.163
4096,208,80,4,95.5992
4096,208,88,4,98.5092
4096,208,96,4,88.3793
4096,208,104,4,81.8087
4096,208,112,4,97.1661
4096,208,120,4,91.1384
4096,208,128,4,78.448
4096,208,136,4,90.4537
4096,208,144,4,87.6772
4096,208,152,4,85.2319
4096,208,160,4,86.6659
4096,208,168,4,92.5478
4096,208,176,4,88.4099
4096,208,184,4,89.7341
4096,208,192,4,75.3017
4096,208,200,4,82.8627
4096,216,8,4,80.3061
4096,216,16,4,100.4822
4096,216,24,4,106.0117
4096,216,32,4,104.2696
4096,216,40,4,114.513
4096,216,48,4,110.432
4096,216,56,4,110.6823
4096,216,64,4,103.657
4096,216,72,4,100.8306
4096,216,80,4,91.0119
4096,216,88,4,85.2783
4096,216,96,4,95.6741
4096,216,104,4,84.8542
4096,216,112,4,83.7153
4096,216,120,4,87.7191
4096,216,128,4,83.8489
4096,216,136,4,93.2011
4096,216,144,4,93.5503
4096,216,152,4,76.0711
4096,216,160,4,89.7447
4096,216,168,4,89.2943
4096,216,176,4,90.762
4096,216,184,4,80.1765
4096,216,192,4,84.726
4096,216,200,4,81.1552
4096,216,208,4,80.071
4096,224,8,4,79.6402
4096,224,16,4,96.8017
4096,224,24,4,113.6311
4096,224,32,4,108.5454
4096,224,40,4,112.2948
4096,224,48,4,115.4642
4096,224,56,4,98.3168
4096,224,64,4,105.4769
4096,224,72,4,102.7417
4096,224,80,4,99.0778
4096,224,88,4,93.4001
4096,224,96,4,87.0797
4096,224,104,4,84.0137
4096,224,112,4,98.2206
4096,224,120,4,81.2662
4096,224,128,4,79.2524
4096,224,136,4,88.2675
4096,224,144,4,75.8395
4096,224,152,4,82.1348
4096,224,160,4,92.5891
4096,224,168,4,87.6234
4096,224,176,4,87.3483
4096,224,184,4,88.1923
4096,224,192,4,84.1548
