size,nb,ib,threads,GFlops
8192,216,96,8,79.7076
8192,216,104,8,75.2654
8192,216,112,8,80.2049
8192,216,120,8,76.6859
8192,216,128,8,76.5417
8192,216,136,8,81.5935
8192,216,144,8,73.0551
8192,216,152,8,72.179
8192,216,160,8,73.265
8192,216,168,8,74.4423
8192,216,176,8,73.9354
8192,216,184,8,79.7487
8192,216,192,8,71.792
8192,216,200,8,69.7116
8192,216,208,8,66.7507
8192,224,8,8,90.3747
8192,224,16,8,116.9526
8192,224,24,8,122.1835
8192,224,32,8,120.6217
8192,224,40,8,123.135
8192,224,48,8,112.9503
8192,224,56,8,79.5905
8192,224,64,8,83.2122
8192,224,72,8,78.8966
8192,224,80,8,81.7417
8192,224,88,8,83.3937
8192,224,96,8,81.551
8192,224,104,8,78.5157
8192,224,112,8,80.9999
8192,224,120,8,78.6414
8192,224,128,8,77.7213
8192,224,136,8,73.7259
8192,224,144,8,75.8859
8192,224,152,8,71.9531
8192,224,160,8,71.2803
8192,224,168,8,68.5327
8192,224,176,8,74.5266
8192,224,184,8,74.1173
8192,224,192,8,75.3047
8192,224,200,8,72.4321
8192,224,208,8,69.0093
8192,224,216,8,68.1527
8192,232,8,8,91.1328
8192,232,16,8,113.6266
8192,232,24,8,120.1269
8192,232,32,8,119.8681
8192,232,40,8,120.8293
8192,232,48,8,109.0036
8192,232,56,8,78.49
8192,232,64,8,79.3947
8192,232,72,8,79.927
8192,232,80,8,80.9051
8192,232,88,8,76.7042
8192,232,96,8,82.3054
8192,232,104,8,78.5448
8192,232,112,8,74.3924
8192,232,120,8,77.8288
8192,232,128,8,78.7623
8192,232,136,8,76.5175
8192,232,144,8,73.4143
8192,232,152,8,72.4001
8192,232,160,8,70.7334
8192,232,168,8,69.2622
8192,232,176,8,67.7981
8192,232,184,8,72.5938
8192,232,192,8,75.4738
8192,232,200,8,71.3471
8192,232,208,8,72.1921
8192,232,216,8,68.7215
8192,232,224,8,70.4462
8192,240,8,8,92.3958
8192,240,16,8,113.367
8192,240,24,8,123.882
8192,240,32,8,116.6712
8192,240,40,8,124.8007
8192,240,48,8,106.9894
8192,240,56,8,74.8181
8192,240,64,8,78.2429
8192,240,72,8,76.9243
8192,240,80,8,75.9109
8192,240,88,8,75.989
8192,240,96,8,80.9728
8192,240,104,8,78.6901
8192,240,112,8,75.2182
8192,240,120,8,76.662
8192,240,128,8,75.1932
8192,240,136,8,75.45
8192,240,144,8,73.6326
8192,240,152,8,72.2783
8192,240,160,8,74.2589
8192,240,168,8,70.3752
8192,240,176,8,69.2563
8192,240,184,8,67.4576
8192,240,192,8,74.3421
8192,240,200,8,75.8662
8192,240,208,8,70.2301
8192,240,216,8,68.9122
8192,240,224,8,69.7114
8192,240,232,8,67.1469
8192,248,8,8,92.6111
8192,248,16,8,110.8879
8192,248,24,8,117.7585
8192,248,32,8,119.7862
8192,248,40,8,119.7264
8192,248,48,8,102.0649
8192,248,56,8,65.7145
8192,248,64,8,64.7346
8192,248,72,8,69.455
8192,248,80,8,77.0281
8192,248,88,8,74.6019
8192,248,96,8,76.4901
8192,248,104,8,76.868
8192,248,112,8,76.0157
8192,248,120,8,74.4197
8192,248,128,8,77.866
8192,248,136,8,77.1799
8192,248,144,8,75.7158
8192,248,152,8,71.5929
8192,248,160,8,72.8613
8192,248,168,8,70.6307
8192,248,176,8,69.3141
8192,248,184,8,69.8237
8192,248,192,8,73.6879
8192,248,200,8,74.9974
8192,248,208,8,74.1775
8192,248,216,8,72.7956
8192,248,224,8,70.8484
8192,248,232,8,68.4536
8192,248,240,8,67.1614
8192,256,8,8,91.612
8192,256,16,8,108.2696
8192,256,24,8,115.8523
8192,256,32,8,119.1362
8192,256,40,8,112.5103
8192,256,48,8,103.104
8192,256,56,8,65.9782
8192,256,64,8,64.8037
8192,256,72,8,70.2606
8192,256,80,8,69.9069
8192,256,88,8,68.798
8192,256,96,8,73.838
8192,256,104,8,75.1545
8192,256,112,8,78.265
8192,256,120,8,76.815
8192,256,128,8,78.3985
8192,256,136,8,77.1083
8192,256,144,8,75.3931
8192,256,152,8,74.9396
8192,256,160,8,74.7478
8192,256,168,8,74.2613
8192,256,176,8,71.9352
8192,256,184,8,72.6591
8192,256,192,8,74.1629
8192,256,200,8,73.0254
8192,256,208,8,76.2902
8192,256,216,8,75.1371
8192,256,224,8,74.7523
8192,256,232,8,71.6345
8192,256,240,8,70.2298
8192,256,248,8,70.2815
8192,264,8,8,89.6033
8192,264,16,8,108.0406
8192,264,24,8,117.6592
8192,264,32,8,115.0933
8192,264,40,8,115.8659
8192,264,48,8,95.5759
8192,264,56,8,86.9968
8192,264,64,8,84.8733
8192,264,72,8,88.2546
8192,264,80,8,87.2693
8192,264,88,8,90.3384
8192,264,96,8,85.4404
8192,264,104,8,85.1315
8192,264,112,8,88.8963
8192,264,120,8,87.2973
8192,264,128,8,84.953
8192,264,136,8,85.6006
8192,264,144,8,88.6282
8192,264,152,8,86.7289
8192,264,160,8,88.3677
8192,264,168,8,87.3282
8192,264,176,8,85.1494
8192,264,184,8,83.5593
8192,264,192,8,89.0
8192,264,200,8,86.0948
8192,264,208,8,85.115
8192,264,216,8,79.0366
8192,264,224,8,79.1758
8192,264,232,8,78.6
8192,264,240,8,77.1528
8192,264,248,8,73.5995
8192,264,256,8,68.8401
8192,272,8,8,93.0083
8192,272,16,8,98.0206
8192,272,24,8,111.4217
8192,272,32,8,114.953
8192,272,40,8,112.433
8192,272,48,8,99.524
8192,272,56,8,85.4403
8192,272,64,8,83.6967
8192,272,72,8,84.6656
8192,272,80,8,88.2017
8192,272,88,8,85.867
8192,272,96,8,86.7472
8192,272,104,8,86.3694
8192,272,112,8,86.9326
8192,272,120,8,86.1931
8192,272,128,8,86.7028
8192,272,136,8,86.2729
8192,272,144,8,91.8038
8192,272,152,8,87.2055
8192,272,160,8,86.4328
8192,272,168,8,89.4321
8192,272,176,8,85.7461
8192,272,184,8,83.7766
8192,272,192,8,90.4202
8192,272,200,8,86.324
8192,272,208,8,81.0648
8192,272,216,8,83.692
8192,272,224,8,81.5042
8192,272,232,8,80.9162
8192,272,240,8,77.8857
8192,272,248,8,76.0694
8192,272,256,8,71.8202
8192,272,264,8,76.8467
8192,280,8,8,90.0152
8192,280,16,8,104.4626
8192,280,24,8,109.7986
8192,280,32,8,108.8942
8192,280,40,8,110.5789
8192,280,48,8,99.1325
8192,280,56,8,84.7431
8192,280,64,8,84.0365
8192,280,72,8,86.0919
8192,280,80,8,88.3053
8192,280,88,8,85.8073
8192,280,96,8,88.638
8192,280,104,8,85.284
8192,280,112,8,85.8836
8192,280,120,8,88.9448
8192,280,128,8,82.0969
8192,280,136,8,82.9355
8192,280,144,8,85.9009
8192,280,152,8,88.9072
8192,280,160,8,87.5393
8192,280,168,8,87.9044
8192,280,176,8,85.1307
8192,280,184,8,84.3039
8192,280,192,8,87.5364
8192,280,200,8,84.7794
8192,280,208,8,85.5429
8192,280,216,8,85.8101
8192,280,224,8,83.8575
8192,280,232,8,80.1268
8192,280,240,8,78.9172
8192,280,248,8,77.9229
8192,280,256,8,76.0762
8192,280,264,8,78.4547
8192,280,272,8,75.0941
8192,288,8,8,88.3169
8192,288,16,8,101.8281
8192,288,24,8,104.5049
8192,288,32,8,107.1167
8192,288,40,8,104.6941
8192,288,48,8,95.2149
8192,288,56,8,80.1309
8192,288,64,8,86.0147
8192,288,72,8,87.2717
8192,288,80,8,86.7095
8192,288,88,8,86.8979
8192,288,96,8,88.2615
